sentence_id,actor,context,date,sentence_text,disagreements,n_disagreements
e64e5f0e-bfd5-4aef-bc7d-314f353e780c,Dario Amodei,public,2026-04-29,We've seen that in published model cards offered by multiple companies.,Regulation/Governance: A=0 B=1; None: A=1 B=0,2
5d4f9a7a-240b-4d03-b0dd-8e7e23b38a0f,UK DSIT,policy,2023-03-29,"It will strengthen the UK’s position as a global leader in AI, harness AI’s ability to drive growth and prosperity,14 and increase public trust in its use and application.",Innovation/Progress: A=1 B=0; Regulation/Governance: A=0 B=1,2
45e47169-51bb-4f5b-923b-fc9103551513,EU Commission,policy,2019-04-08, Did you assess whether the team involved in building the AI system is representative of your target user audience?,Risk/Harm: A=1 B=0; Regulation/Governance: A=0 B=1,2
4447c2e7-3b5b-4a8a-99c4-914373b2232c,Anthropic,commercial,unknown,"We also tested whether alignment faking really could blunt the impact of training—that is, whether it could “lock in” a model’s pre-existing preferences and make them resistant to change.",Risk/Harm: A=0 B=1; None: A=1 B=0,2
32310dc6-a23f-4198-bce7-0e294184a83a,UK DSIT,policy,unknown,Here's how to set up this test in ControlArena: The setting is a simulated environment defining both the legitimate tasks for the AI and the malicious objectives you're testing against.,Risk/Harm: A=0 B=1; None: A=1 B=0,2
d8efbccf-02c9-4a8e-b1af-fe575db6d830,Dario Amodei,public,2026-04-29,But how do you think about the contribution of Anthropic to that increase in the scope of this industry.,Economic Benefit: A=1 B=0; None: A=0 B=1,2
2aabc040-f17a-4a05-920a-6b2d9025e9d1,Demis Hassabis,public,2025-07-23,"Playable world models wen?” And then you co-tweeted that with, “Now, wouldn’t that be something?” So how hard is it to build game worlds with AI?",Innovation/Progress: A=0 B=1; None: A=1 B=0,2
4a552c7c-6987-411a-81ad-fe8747a2db7e,Dario Amodei,public,2026-04-29,"The other exponential you talked about is, these things can get involved in the process of AI research itself, speeding it up.",Innovation/Progress: A=1 B=0; Existential/AGI: A=0 B=1,2
8c818414-b3cc-42bb-9dc9-d0f4d5286ce4,Anthropic,commercial,unknown,We believe in this kind of “portfolio approach” to AI safety research.,Regulation/Governance: A=0 B=1; None: A=1 B=0,2
9079f788-7fb4-4b54-a375-4b05979b80b3,Jensen Huang,public,2026-04-29,"One of the things that is underemphasized is the richness of the ecosystem around cybersecurity, AI cybersecurity and AI security and AI privacy and AI safety.",Regulation/Governance: A=0 B=1; None: A=1 B=0,2
a5f048ee-d87a-40f1-821a-b5d25283c26f,UK DSIT,policy,2022-05-11,This includes understanding the role played by AI technical standards as a channel for AI R&D commercialisation.,Economic Benefit: A=0 B=1,1
a5ae37ec-d608-4678-8bf0-2f33827b8fec,EU Commission,policy,2020-02-19,"While the EU legislation remains in principle fully applicable irrespective of the involvement of AI, it is important to assess whether it can be enforced adequately to address the risks that AI syste",Risk/Harm: A=0 B=1,1
dbd42e4f-9ca6-4f0c-b03e-4e86d6920a15,UK DSIT,policy,2025-01-13,The first ever AI Growth Zones will be set up.,Innovation/Progress: A=1 B=0,1
eb272bfc-de61-42ec-bd39-66b4337267aa,EU Commission,policy,2025-10-08,The EDIHs will also promote the adoption and integration of European AI solutions to foster the growth of the EU domestic AI ecosystem.,Innovation/Progress: A=1 B=0,1
