sentence_id,doc_id,actor,actor_type,context,date,post_chatgpt,sentence_text,annotator
09ff3b36-d78b-41ac-acf7-db79e4e833cc,da9ca697-3d02-4325-afb4-9f842f2173fd,Mark Zuckerberg,individual,public,2026-04-29,1,You have other models too.,A
de22377d-3b0d-4df5-9e6a-6f2ed3b300a9,63f079a1-5199-47ee-a19e-9ecddac08130,Jensen Huang,individual,public,2025-03-18,1,"It's not quite as simple as four-bit floating point, but using four-bit floating point, we can quantize the model, use less energy to do the same.",A
5e5f16b0-d105-46d5-b2c6-138c37695d20,9bc52824-2228-47e8-a319-eeabdc5a8bbf,UK DSIT,policymaker,policy,2025-11-12,1,(note) Children will be better protected from becoming victims of horrific indecent deepfakes as the government introduces new laws to ensure Artificial Intelligence ( AI ) cannot be exploited to generate child sexual abuse material.,A
94469bb5-86af-405e-8026-c2ee1d550c24,b02ba475-a4fe-4b9b-a36d-8d03062993ec,Sam Altman,individual,commercial,2014-01-16,0,Often as soon as they get their first user.,A
4ec317d9-28b1-4d53-96b8-2061a04166f3,d0533867-a71a-4cbb-8a1c-67b97bad082c,Anthropic,company,public,unknown,0,"Extending tools with code : Claude Code can write scripts, plugins, and generative systems for the software you already use.",A
f0013ae6-d851-46a2-a763-f44257627b2e,1d80edef-e10b-4792-9dcf-51bf280e913d,Microsoft,company,public,2026-01-21,1,"In May 2025, Microsoft reached an expanded ten-year agreement with Stockholm Exergi to remove over 5 million metric tonnes of carbon dioxide.",A
c0aee212-0004-4e7a-9b21-a0b8b1f324fe,1493c77f-821a-43f9-b874-c5ec981a0548,White House OSTP,policymaker,policy,2024-09-13,1,"During National Historically Black Colleges and Universities Week, we celebrate the incredible legacy of these institutions, we honor the quality education, economic mobility, and opportunity they bring to so many students —- particularly students from low-income backgrounds and those who are the first in their families to go to college — and we recommit to supporting and investing in their success.",A
11e0b41e-b710-45ca-8306-244715cf34ed,ec49afca-2060-4ceb-b42f-a200b7f581e8,US Congress,policymaker,policy,2023-05-16,1,Dr. TURNER LEE.,A
8d77707e-9f7d-4181-9b28-a643544df186,59f23298-077e-46f4-87f4-364d0cfcda05,OpenAI,company,commercial,2025-04-06,1,Here's the list:\n1.,A
38a88c74-3d7a-4754-9e61-9a1826da8c20,562ad4b7-4642-4433-b811-a3a147023564,OpenAI,company,policy,2026-03-01,1,"""]}]]}]]}]]}]}],[""$"",""div"",""5"",{""className"":""col-span-12 group [&:not(:first-child)]:mt-xl [&:not(:last-child)]:mb-xl"",""children"":[""$"",""$24"",null,{""fallback"":null,""children"":[[""$"",""$L25"",null,{""moduleIds"":""$undefined""}],[""$"",""div"",null,{""className"":""@container multi-columns:flex multi-columns:px-0 grid w-full grid-cols-12 max-w-container"",""children"":[""$"",""div"",null,{""className"":""multi-columns:w-full col-span-12"",""children"":[""$"",""div"",null,{""className"":""gap-3xs grid h-full w-full grid-cols-1 @md:grid-cols-1"",""children"":[[""$"",""$L1f"",""ufvsLgFiNCTbRvhsaJHN9"",{""altText"":""The OpenAI Podcast Episode 10"",""videoEmbedUrl"":""https://youtu.be/0sNOaD9xT_4"",""videoShowMuteButton"":true,""showEmbeddedVideoControls"":false,""captionAlignment"":""content-grid"",""truncateCaption"":true,""centerCaption"":false,""copyToClipboard"":false,""keyline"":false,""id"":""ufvsLgFiNCTbRvhsaJHN9"",""__typename"":""mediaItem"",""className"":""flex flex-col"",""lineClamp"":""line-clamp-2"",""borderRadius"":""$undefined"",""isVisible"":true,""fullWidthCaption"":true}]]}]}]}]]}]}],[""$"",""div"",""6"",{""className"":""@md:col-span-6 @md:col-start-4 col-span-12 max-w-none [&:not(:first-child)]:mt-xl"",""children"":[""$"",""$L26"",null,{""text"":[[""$"",""$22"",""0"",{""children"":[[""$"",""span"",""text-end-0"",{""children"":[""What is OpenAI for Science?Â ""]}]]}]],""headlineTag"":""h2"",""headlineStyleDefault"":""Heading 3"",""id"":""what-is-openai-for-science"",""omitFromTableOfContents"":false}]}],[""$"",""div"",""7"",{""className"":""@md:col-span-6 @md:col-start-4 col-span-12 max-w-none [&:not(:first-child)]:mt-sm"",""children"":[""$"",""p"",null,{""className"":""mb-sm last:mb-0"",""children"":[[""$"",""$22"",""0"",{""children"":[[""$"",""span"",""text-end-0"",{""children"":[""The mission of OpenAI for Science is to accelerate scientific discovery: to help researchers explore more ideas, test hypotheses faster, and uncover insights that would otherwise take significant time.",A
